account_id,user_id
25082633,18935218
21184958,15578512
514136,1593077
25159275,19003706
22567050,16753903
78500,223386
9993925,7392163
25157730,19002344
3530305,2950078
299662,606371
24689274,18582008
25159617,19004000
15667510,12173086
1850,2547
2861262,2486355
25137554,18984161
19570058,14321409
19307794,14114229
1256590,1215913
24857763,18733901
25145227,18991095
22959925,17089968
1113075,1103122
6706608,5206566
22405717,16615299
1132785,1118475
3086185,2613263
15048106,18962788
20130537,14762956
14331920,10352461
19112219,13957989
20973689,15410264
1054059,1057157
17454481,12653696
22627225,16805151
22861204,17035428
25157033,19001736
25150720,18996057
37396,106906
8223014,6186152
331923,656912
12442297,9059865
339082,668338
1622673,1498918
3453247,2892378
8866188,6631655
1290630,1268694
23910041,17907116
1353848,1292656
1832729,1663762
10038837,7422442
16547975,13486944
25159589,19003976
14006724,10242465
24643393,18541334
23946529,17938799
15454250,11148823
25159535,19003925
23637590,17668385
3228382,2724173
24068486,18044698
24693010,18585303
12448819,9064174
24942700,18808362
25159338,19003761
19480160,14250678
21233026,15617485
9293601,6901294
17601342,13835409
3854712,3193960
25159532,19003924
17662791,12820870
23808279,17817458
2525315,2194805
6998355,5365251
4279177,3499084
24280012,18226690
23828127,17834839
24950781,18815614
16159205,11665770
3516244,2939594
25159293,19003722
2711347,2339738
19520113,14282195
17954942,13047233
4838217,4527998
25125992,18973782
2441774,2130091
16231733,11720338
24418072,18344707
23140923,17244380
23124475,17230500
24894553,18765983
24096515,18068929
8015429,6045909
24502500,18417938
137183,341191
4689314,3795862
4452849,3624149
4547828,3693838
13925464,10054910
25159515,19003908
18064636,13130892
4717468,3816260
25159504,19003898
774140,819884
13796791,9957808
25159447,19003855
8302554,7035817
15815875,18464218
22022269,16290897
24779414,18662902
3253860,2743486
24792407,19003419
16243495,11729229
25158553,19003056
15602647,11256340
38503,110527
21109272,15517624
24099085,18071153
2793152,2402979
3342404,2808373
22885208,17026191
18848817,13748434
3222147,2719331
18517955,13491670
8378083,6290983
25006577,18866447
7812117,5908014
20247512,14849564
3418489,2866757
22981070,17292389
25159455,19003861
16877632,12204620
2585416,2241241
1368675,1304505
23362425,17434439
2090997,7516740
25159474,19003874
25159471,19003872
25159354,19003775
1384758,1317018
6011286,4721674
23725366,17745322
1395223,1325133
23259694,17346154
24591566,18495375
1687373,1550361
25159461,19003866
16410476,11853906
24865480,18740627
